Customer_ID,Blue's Rating,Rating Given,Company Chosen,Starting Location,Ending Location,Started Time,Ending Time,Unavailable Scooter,Breakdown,Breakdown Time
387,0.477081384,8,0,Queens,Stony,393,427,FALSE,FALSE,0
388,0.478664193,6,1,Manhattan,Jones,395,450,FALSE,TRUE,430
345,0.480957196,9,0,Queens,Manhattan,346,431,FALSE,FALSE,0
369,0.478316736,8,0,Manhattan,Jones,375,431,FALSE,FALSE,0
379,0.478551001,8,1,Jones,Manhattan,382,432,FALSE,FALSE,0
340,0.481099656,9,0,Queens,Manhattan,339,434,FALSE,FALSE,0
423,0.481438515,0,0,Queens,Manhattan,433,518,TRUE,FALSE,0
338,0.482425913,9,1,Queens,Manhattan,337,436,FALSE,FALSE,0
364,0.479429867,9,1,Manhattan,Jones,367,437,FALSE,FALSE,0
404,0.475522388,3,1,Manhattan,Queens,416,491,FALSE,TRUE,439
362,0.478077298,9,0,Manhattan,Queens,364,442,FALSE,FALSE,0
332,0.470212766,9,1,Queens,Manhattan,330,443,FALSE,FALSE,0
371,0.47827476,9,0,Jones,Manhattan,377,443,FALSE,FALSE,0
390,0.479102643,8,0,Stony,Queens,400,443,FALSE,FALSE,0
356,0.479986877,8,1,Manhattan,Queens,359,444,FALSE,FALSE,0
382,0.476220275,9,0,Jones,Stony,387,444,FALSE,FALSE,0
418,0.480831138,4,0,Stony,Queens,429,460,FALSE,TRUE,444
357,0.479986877,9,0,Queens,Manhattan,359,445,FALSE,FALSE,0
401,0.478378378,6,1,Jones,Stony,411,466,FALSE,TRUE,445
354,0.479986877,8,1,Jones,Stony,357,447,FALSE,FALSE,0
375,0.477055449,9,1,Manhattan,Queens,379,447,FALSE,FALSE,0
417,0.480831138,1,1,Queens,Manhattan,429,523,FALSE,TRUE,447
389,0.477818854,8,0,Stony,Queens,398,449,FALSE,FALSE,0
412,0.47961279,3,1,Manhattan,Queens,423,501,FALSE,TRUE,452
396,0.47600243,4,1,Queens,Manhattan,405,512,FALSE,TRUE,454
373,0.477055449,8,1,Queens,Manhattan,378,455,FALSE,FALSE,0
413,0.47961279,9,0,Queens,Stony,424,455,FALSE,FALSE,0
386,0.477081384,8,0,Stony,Jones,392,458,FALSE,FALSE,0
350,0.483699268,9,1,Queens,Manhattan,354,461,FALSE,FALSE,0
407,0.477978126,5,0,Manhattan,Jones,420,492,FALSE,TRUE,462
408,0.479363208,7,0,Queens,Stony,421,479,FALSE,TRUE,462
456,0.48294982,0,0,Stony,Queens,460,508,FALSE,TRUE,462
460,0.483461963,0,0,Manhattan,Jones,462,515,TRUE,FALSE,0
451,0.4818005,1,1,Jones,Manhattan,455,508,FALSE,TRUE,464
444,0.482517483,2,1,Stony,Queens,450,508,FALSE,TRUE,465
426,0.481534911,9,1,Queens,Stony,436,468,FALSE,FALSE,0
469,0.481868132,0,0,Queens,Manhattan,468,539,TRUE,TRUE,493
399,0.479963845,8,0,Manhattan,Queens,409,471,FALSE,FALSE,0
446,0.482517483,4,1,Jones,Manhattan,451,499,FALSE,TRUE,471
472,0.481868132,0,0,Queens,Stony,470,528,TRUE,FALSE,0
366,0.479703608,8,0,Manhattan,Queens,370,472,FALSE,FALSE,0
397,0.47600243,9,0,Queens,Manhattan,406,473,FALSE,FALSE,0
398,0.47585788,8,0,Manhattan,Jones,407,475,FALSE,FALSE,0
410,0.478235294,9,1,Manhattan,Jones,422,476,FALSE,FALSE,0
440,0.481356883,7,1,Queens,Stony,447,486,FALSE,TRUE,477
442,0.482517483,8,1,Queens,Stony,449,484,FALSE,TRUE,477
